route_id,service_id,trip_id,trip_headsign,direction_id
565,0000000022013091120140627,0001589352013091120140627,Trento-Autostaz.,1
63,0000000022013091120140627,0001589542013091120140627,Montesover,1
63,0000000022013091120140627,0001589552013091120140627,Montesover,1
63,0000000022013091120140627,0001589562013091120140627,Montesover,1
63,0000000022013091120140627,0001589572013091120140627,Sover,0
63,0000000022013091120140627,0001589582013091120140627,Sover,0
552,0000000022013091120140627,0001589602013091120140627,Pergine V.-C.Intermodale,1
552,0000000052013091120140627,0001589612013091120140627,Pergine V.-C.Intermodale,1
552,0000000022013091120140627,0001589632013091120140627,Roncogno,0
552,0000000022013091120140627,0001589642013091120140627,Roncogno,0
552,0000000052013091120140627,0001589652013091120140627,Roncogno,0
552,0000000042013091120140627,0001589662013091120140627,Roncogno,0
552,0000000022013091120140627,0001589672013091120140627,Roncogno,0
552,0000000042013091120140627,0001589682013091120140627,Roncogno,0
552,0000000022013091120140627,0001589722013091120140627,Pergine V.-C.Intermodale,1
552,0000000022013091120140627,0001589742013091120140627,Pergine V.-C.Intermodale,1
552,0000000052013091120140627,0001589752013091120140627,Pergine V.-C.Intermodale,1
552,0000000042013091120140627,0001589762013091120140627,Pergine V.-C.Intermodale,1
552,0000000042013091120140627,0001589772013091120140627,Pergine V.-C.Intermodale,1
401,0000000052013091120140627,0001589792013091120140627,Taio-Plesso Scolastico,1
368,0000000052013091120140627,0001589812013091120140627,Dermulo,1
368,0000000072013091120140627,0001589822013091120140627,Cles-Autostazione,1
368,0000000062013091120140627,0001589842013091120140627,Cles-Autostazione,1
378,0000000052013091120140627,0001589892013091120140627,Cis,0
364,0000000022013091120140627,0001589932013091120140627,Castelfondo,0
364,0000000042013091120140627,0001590002013091120140627,Romallo,0
194,0000000822013091120140627,0001590132013091120140627,Pomarolo,1
194,0000000062013091120140627,0001590152013091120140627,Pomarolo,1
69,0000000022013091120140627,0001590332013091120140627,Brusago,0
69,0000000072013091120140627,0001590342013091120140627,Brusago,0
69,0000000042013091120140627,0001590352013091120140627,Brusago,0
494,0000000052013091120140627,0001590362013091120140627,Montesover,0
494,0000000042013091120140627,0001590372013091120140627,Montesover,0
69,0000000022013091120140627,0001590382013091120140627,Brusago,0
494,0000000042013091120140627,0001590392013091120140627,Brusago,0
69,0000000022013091120140627,0001590412013091120140627,Brusago,0
69,0000000052013091120140627,0001590432013091120140627,Montesover,0
67,0000000052013091120140627,0001590552013091120140627,Carano-Garnì Belvedere,0
67,0000000022013091120140627,0001590592013091120140627,Cavalese-Autostaz.,1
67,0000000052013091120140627,0001590602013091120140627,Cavalese-Autostaz.,1
67,0000000022013091120140627,0001590622013091120140627,Cavalese-Autostaz.,1
565,0000000042013091120140627,0001590682013091120140627,Monte Terlago-H. 2 Laghi,0
604,0000000042013091120140627,0001590692013091120140627,Cavalese-Ospedale,0
604,0000000042013091120140627,0001590702013091120140627,Cavalese-Autostaz.,1
604,0000000072013091120140627,0001590712013091120140627,Cavalese-Ospedale,0
375,0000000062013091120140627,0001590782013091120140627,Fondo-Via Garibaldi,1
188,0000000022013091120140627,0001590812013091120140627,Levico T.-P.Za Medici,0
60,0000000022013091120140627,0001590992013091120140627,Verla,1
60,0000000092013091120140627,0001591002013091120140627,Verla,1
60,0000000052013091120140627,0001591012013091120140627,Verla,1
60,0000000052013091120140627,0001591022013091120140627,Verla,1
